Time,Event Type,Protocol,URI,Source IP,Destination IP,File Hash,File Type,File Size,Action
11/17/16 18:13,File Scanned,http,http://dlied6.qq.com/invc/xfspeed/qqpcmgr/module_update/fid1479371227_QmTtInterface.dat.zip,10.0.0.123,131.118.254.41,ba34e71e2095bd1668f25fc953d63ff561b500f2159bb35a234f26c5898dc60f,ZIP,1657,Allowed
11/17/16 18:13,File Scanned,http,http://dlied6.qq.com/invc/xfspeed/qqpcmgr/module_update/fid1479384794_QMIESafeDll.dll.zip,10.0.0.123,131.118.254.41,6f8e63d47ced8b3ecd207898a4c7a8d610486017bd7d4f81d57fea197cace7f5,ZIP,130365,Allowed
11/17/16 11:18,File Scanned,http,http://download-cdn.gfe.nvidia.com/packages/DAO/production/21379285/0000976E/0.dat,10.0.0.123,192.229.210.202,3b1e56ecad11f3f8f29033512b6a6c23b1e3094d4aae9e757779834ca94c7e89,MS_EXE,9747672,Allowed
11/17/16 5:13,File Scanned,http,http://dlied6.qq.com/invc/xfspeed/qqpcmgr/module_update/fid1478330436_QMIESafeDll.dll.zip,10.0.0.123,104.129.67.145,a6e4d82a26748d43a12628543ec5366f510dcee81e245a38f7c1a1d009ee5ff3,ZIP,130401,Allowed
11/17/16 4:41,File Scanned,http,http://iosapps.itunes.apple.com/apple-assets-us-std-000001/Purple71/v4/fb/53/5d/fb535d6b-8ac4-8fa2-1fa5-f02e9eeea4a3/mzps.8768636143822326889.ipa?accessKey=1479580859_7837030190549598250_gsDRvHEcU15gGTxJPz8%2B7IpbNxafwPzIumW1zQLgw%2B6dvzj7o7UW%2F9Hql9abKRVRIS1WgSe0Ssxr%2FfqGsQWmxUdTvrsFNHt6%2Bg%2BspAU7jQY06hLPPJL2IhfQ6s2bLCnrBjoi6Jakg%2BkZMsAQHUMazaPkkt%2BybqHBnQmQMfD4eibfMjwftr%2Fc9byHR73EAcA4,10.0.0.126,17.253.21.205,f4bfb2b19639a866f9cdf3b29364f3ca85834d05d6e151b78d4d548cf3aded9d,ZIP,8871232,Allowed
11/17/16 1:13,File Scanned,http,http://dlied6.qq.com/invc/xfspeed/qqpcmgr/module_update/fid1478242781_QmTtInterface.dat.zip,10.0.0.123,131.118.254.38,6a87c13b8c5fea887d03c43bc5826a2d9ad8ae9fdd41d5d8ebeaa01d1892b20e,ZIP,1626,Allowed
11/16/16 23:13,File Scanned,http,http://dlied6.qq.com/invc/xfspeed/qqpcmgr/module_update/fid1479358739_QMIESafeDll.dll.zip,10.0.0.123,131.118.254.38,b1e100dd4fc2d0b938e683c463dc538aa26a3006556ea0c62fc6fda388490d03,ZIP,130259,Allowed
11/16/16 11:17,File Scanned,http,http://download-cdn.gfe.nvidia.com/packages/DAO/production/21376336/00009766/0.dat,10.0.0.123,192.229.210.202,5b10c63e29cc3796b9d4c07270280db7f3ec27d41bf067165586d80d9791f1b4,MS_EXE,9747696,Allowed
11/16/16 7:47,File Scanned,http,http://dlied6.qq.com/invc/xfspeed/qqpcmgr/data_update/did59_2016.11.16.1922_SoftVerInfo.etf.zip,10.0.0.123,131.118.254.41,c291e411f02f271152654eaa1b110ba3b0cd589d34d41560ac78ce65b88feb2d,ZIP,36060,Allowed
11/16/16 2:45,File Scanned,http,http://download.windowsupdate.com/c/msdownload/update/others/2016/11/23151470_166a9e28ad6487ae7c1c4eab37c5ae2ef8547fd8.cab,10.0.0.123,13.107.4.50,c7053bae9bd6a28aa2d1b0965d7a1c063d45914ca0851270f28d2bc4c8305618,MS_CABINET,697205,Allowed
